obs_yield,precip,rad,maxt,mint,sat,hyd,clay,bulk,water,lat,long,elev
14.31,424.01,18.67,26.59,13.21,0.35,35.53,0.1,1.49,1,41.79,-73.25,279.05
14.31,424.01,18.67,26.59,13.21,0.34,64.88,0.08,1.58,1,41.79,-73.25,279.05
14.31,424.01,18.67,26.59,13.21,0.38,42,0.13,1.39,1,41.79,-73.25,279.05
25.09,394.49,18.73,26.2,13.52,0.34,64.88,0.08,1.58,1,41.41,-72.93,95.5
25.09,372.9,19.82,26.04,14.58,0.34,36.72,0.14,1.6,1,41.41,-72.93,95.5
25.09,372.9,19.82,26.04,14.58,0.35,50.82,0.09,1.57,1,41.41,-72.93,95.5
,394.49,18.73,26.2,13.52,0.34,36.72,0.14,1.6,1,41.27,-73.39,115.95
,394.49,18.73,26.2,13.52,0.35,35.53,0.1,1.49,1,41.27,-73.39,115.95
,394.49,18.73,26.2,13.52,0.34,64.88,0.08,1.58,1,41.27,-73.39,115.95
,383.64,19.82,24.76,14.95,0.39,292.45,0.03,1.37,1,41.46,-72.54,85.56
,372.9,19.82,26.04,14.58,0.34,36.72,0.14,1.6,1,41.46,-72.54,85.56
,372.9,19.82,26.04,14.58,0.33,25.64,0.1,1.59,1,41.46,-72.54,85.56
,383.64,19.82,24.76,14.95,0.36,70.42,0.08,1.53,1,41.49,-72.1,75.5
,420.94,19.68,24.46,13.96,0.36,70.42,0.08,1.53,1,41.49,-72.1,75.5
,420.94,19.68,24.46,13.96,0.34,64.88,0.08,1.58,1,41.49,-72.1,75.5
,422.33,19.32,27.2,14.69,0.36,113.51,0.06,1.49,1,41.86,-72.34,179.16
,422.33,19.32,27.2,14.69,0.38,202.49,0.09,1.42,1,41.86,-72.34,179.16
,422.33,19.32,27.2,14.69,0.33,67.16,0.06,1.55,1,41.86,-72.34,179.16
,421.72,19.5,26.27,12.75,0.39,292.45,0.03,1.37,1,41.83,-71.99,145.91
,421.72,19.5,26.27,12.75,0.42,415.4,0.03,1.33,1,41.83,-71.99,145.91
,376.16,19.62,24.77,13.31,0.36,70.42,0.08,1.53,1,41.83,-71.99,145.91
,306.5,19.81,25.09,10.19,0.45,2.52,0.55,1.56,1,44.12,-73.77,476.22
,306.5,19.81,25.09,10.19,0.45,2.52,0.51,1.6,1,44.12,-73.77,476.22
,337.97,18.82,26.92,13.12,0.45,2.52,0.55,1.56,1,44.12,-73.77,476.22
,432.63,18.44,26.93,15.89,0.31,16,0.12,1.69,1,41.16,-73.76,102.65
,435.27,18.15,27.54,15.05,0.35,57.19,0.06,1.52,1,41.16,-73.76,102.65
,435.27,18.15,27.54,15.05,0.35,62.15,0.11,1.61,1,41.16,-73.76,102.65
,348.02,19.97,24.49,12.96,0.37,11.24,0.22,1.59,1,42.78,-76.82,190.94
,348.02,19.97,24.49,12.96,0.35,11.56,0.22,1.7,1,42.78,-76.82,190.94
,282.65,20.16,26.03,12.96,0.37,10.55,0.29,1.68,1,42.78,-76.82,190.94
21.65,310.87,20.33,27.34,13.64,0.37,20.55,0.24,1.61,1,42.63,-77.11,322.34
21.65,310.87,20.33,27.34,13.64,0.35,41.52,0.2,1.71,1,42.63,-77.11,322.34
21.65,310.87,20.33,27.34,13.64,0.34,12.69,0.21,1.71,1,42.63,-77.11,322.34
,350.05,19.94,24.62,11.95,0.35,8.51,0.22,1.71,1,42.39,-76.88,403.34
,350.05,19.94,24.62,11.95,0.33,10.73,0.28,1.71,1,42.39,-76.88,403.34
,350.05,19.94,24.62,11.95,0.33,24.91,0.12,1.62,1,42.39,-76.88,403.34
24.61,387.63,18.46,26.46,14.36,0.39,36,0.1,0,1,41.4,-74.31,190.93
24.61,387.63,18.46,26.46,14.36,0.33,25.71,0.12,1.62,1,41.4,-74.31,190.93
24.61,387.63,18.46,26.46,14.36,0.32,23.76,0.12,1.66,1,41.4,-74.31,190.93
,432.63,18.44,26.93,15.89,0.34,14.4,0.17,1.63,1,41.15,-74.02,124.39
,435.27,18.15,27.54,15.05,0.34,14.4,0.17,1.63,1,41.15,-74.02,124.39
,435.27,18.15,27.54,15.05,0.35,33.38,0.11,1.54,1,41.15,-74.02,124.39
,373.27,18.22,26.26,11.71,0.36,35.08,0.12,1.45,1,43.11,-73.86,221.03
,373.27,18.22,26.26,11.71,0.44,13.84,0.41,1.42,1,43.11,-73.86,221.03
,373.27,18.22,26.26,11.71,0.36,81.36,0.05,1.54,1,43.11,-73.86,221.03
19.19,359.61,18.94,24.64,10.49,0.38,44.98,0.12,1.35,1,42.49,-75.61,442.22
19.19,359.61,18.94,24.64,10.49,0.37,35.81,0.14,1.45,1,42.49,-75.61,442.22
19.19,359.61,18.94,24.64,10.49,0.31,21.4,0.12,1.71,1,42.49,-75.61,442.22
,367.53,20.73,23.46,9.19,0.37,104.67,0.11,1.49,1,42.25,-78.68,521.93
,419.62,20.68,23.93,9.85,0.33,21.36,0.12,1.67,1,42.25,-78.68,521.93
,419.62,20.68,23.93,9.85,0.33,12.29,0.22,1.72,1,42.25,-78.68,521.93
12.69,317.78,21.06,24.97,14.02,0.37,117.06,0.11,1.5,1,42.23,-79.37,425.65
12.69,380.48,20.86,23.71,14.36,0.37,37.47,0.12,1.41,1,42.23,-79.37,425.65
12.69,380.48,20.86,23.71,14.36,0.37,35.45,0.12,1.4,1,42.23,-79.37,425.65
35.84,372.08,18.47,25.03,11.57,0.35,9.29,0.28,1.68,1,42.6,-73.97,238.18
35.84,372.08,18.47,25.03,11.57,0.38,26.81,0.18,1.47,1,42.6,-73.97,238.18
35.84,372.08,18.47,25.03,11.57,0.44,11.02,0.45,1.44,1,42.6,-73.97,238.18
