obs_yield,precip,rad,maxt,mint,sat,hyd,clay,bulk,water,lat,long,elev
,334.38,19.17,23.84,14.22,0.39,312.98,0.04,1.47,1,41.4,-70.66,12.7
,319.35,19.05,23.87,15.57,0.38,231.81,0.04,1.51,1,41.28,-70.07,0
,319.35,19.05,23.87,15.57,0.37,83.89,0.06,1.56,1,41.28,-70.07,0
,319.35,19.05,23.87,15.57,0.46,597,0.03,1.29,1,41.28,-70.07,0
,355.42,18.98,24.46,14.04,0.45,570,0.03,1.29,1,41.73,-70.3,17.26
,319.35,19.05,23.87,15.57,0.39,449.76,0.02,1.47,1,41.73,-70.3,17.26
,319.35,19.05,23.87,15.57,0.45,570,0.03,1.29,1,41.73,-70.3,17.26
38.05,355.42,18.98,24.46,14.04,0.46,849,0.02,1.26,1,41.95,-70.81,24.61
38.05,355.42,18.98,24.46,14.04,0.36,676.96,0.01,1.56,1,41.95,-70.81,24.61
38.05,355.42,18.98,24.46,14.04,0.38,469.04,0.01,0.89,1,41.95,-70.81,24.61
43.04,358.73,18.04,24.33,11.26,0.36,56.41,0.06,1.41,1,42.37,-73.21,430.25
43.04,358.73,18.04,24.33,11.26,0.36,54.53,0.06,1.36,1,42.37,-73.21,430.25
43.04,358.73,18.04,24.33,11.26,0.38,57.65,0.08,1.37,1,42.37,-73.21,430.25
42.28,355.42,18.98,24.46,14.04,0.43,417.24,0.02,0.68,1,41.8,-71.12,29.72
42.28,374.02,18.87,26.51,13.58,0.45,570,0.03,1.29,1,41.8,-71.12,29.72
42.28,374.02,18.87,26.51,13.58,0.43,417.24,0.02,0.68,1,41.8,-71.12,29.72
40.4,428.58,18.51,27.18,14.78,0.39,132.46,0.06,1.41,1,42.14,-72.63,196.63
40.4,428.58,18.51,27.18,14.78,0.39,349.81,0.03,1.37,1,42.14,-72.63,196.63
40.4,428.58,18.51,27.18,14.78,0.39,332.74,0.01,1.46,1,42.14,-72.63,196.63
,374.02,18.87,26.51,13.58,0.4,350.13,0.03,1.38,1,42.16,-71.21,57.46
,374.02,18.87,26.51,13.58,0.39,381.6,0.03,1.41,1,42.16,-71.21,57.46
,374.02,18.87,26.51,13.58,0.41,321.6,0.04,1.33,1,42.16,-71.21,57.46
40.93,365.11,18.61,25.07,13.85,0.35,51.72,0.05,1.44,1,42.35,-71.91,216.62
40.93,365.11,18.61,25.07,13.85,0.38,58.75,0.08,1.32,1,42.35,-71.91,216.62
40.93,386.93,18.66,23.9,13.57,0.35,51.72,0.05,1.44,1,42.35,-71.91,216.62
41.43,402,18.65,26.23,12.9,0.39,436.71,0.03,1.42,1,42.34,-72.66,226.48
41.43,402,18.65,26.23,12.9,0.39,368.88,0.01,1.46,1,42.34,-72.66,226.48
41.43,402,18.65,26.23,12.9,0.36,82.26,0.08,1.58,1,42.34,-72.66,226.48
41.47,370.31,18.74,26.8,13.51,0.35,52.32,0.06,1.41,1,42.67,-70.96,26.07
41.47,317.61,18.9,23.18,14.4,0.37,42.76,0.1,1.41,1,42.67,-70.96,26.07
41.47,337.77,19,25.83,12.16,0.38,57.49,0.09,1.36,1,42.67,-70.96,26.07
41.52,365.11,18.61,25.07,13.85,0.38,102.2,0.06,1.48,1,42.49,-71.39,69.01
